t,x,y,z
0.0,-0.030335406889455453,0.036888822792355905,-0.010385683562689714
2e-11,-0.030287285193292216,0.03692341014922992,-0.010393365781845366
4e-11,-0.03023520796133914,0.036904699811536885,-0.010369885147134954
6e-11,-0.03023216975545712,0.03684806978601059,-0.01034802262417889
8e-11,-0.030278446672215156,0.03680980114451801,-0.010359229277831951
9.999999999999999e-11,-0.030320824566369323,0.03682634463337989,-0.010399492088056251
1.2e-10,-0.03031032326257363,0.036874789299406,-0.010433612063222972
1.4e-10,-0.03025493487006154,0.03689794291704909,-0.010433266689542493
1.6e-10,-0.030210757478104044,0.03686568310658723,-0.010407365345508693
1.8e-10,-0.030221950634436293,0.03680737637506577,-0.010392654348439546
1.9999999999999998e-10,-0.030272781043038523,0.036780680468018086,-0.010414190684103914
2.2e-10,-0.030304322188021666,0.03680890209455825,-0.010457942680041857
2.4e-10,-0.030278620136200387,0.03685574377575004,-0.010486024783156802
2.6000000000000003e-10,-0.030219501296155946,0.036864869260567104,-0.010477714212828169
2.8e-10,-0.030186761014512422,0.0368204408321548,-0.010451748022265754
3e-10,-0.03021181618350715,0.036764466962900214,-0.010446350055960755
3.2e-10,-0.030263155689288054,0.03675162971544487,-0.010477776150289025
3.3999999999999996e-10,-0.03028048876291868,0.03678950445654108,-0.01052237300744769
3.6e-10,-0.030240581284925006,0.03683050400041791,-0.010542398301425887
3.8e-10,-0.03018213438795095,0.036823677073323444,-0.010526951814243596
3.9999999999999996e-10,-0.030163946500543107,0.03676967146779321,-0.010503815027750359
4.2e-10,-0.030201151066638933,0.036720466355566715,-0.010509573851784694
4.4e-10,-0.030248155487439175,0.036722877139296076,-0.010549577157079635
4.5999999999999996e-10,-0.030248572797276864,0.036767104996332095,-0.010591896743846385
4.8e-10,-0.030196909218102568,0.03679775134481258,-0.010602308015457177
5e-10,-0.030144230127126758,0.03677413461574525,-0.010581506179177774
5.200000000000001e-10,-0.030142803296847227,0.03671448233949745,-0.010564506397637043
5.4e-10,-0.03018883883017505,0.03667656177327047,-0.01058262435327305
5.6e-10,-0.03022614997814354,0.036694260511832395,-0.010628858948653036
5.8e-10,-0.030208144451346012,0.03674021349493846,-0.010665494992100887
6e-10,-0.03014883806309343,0.03675615163021203,-0.010665553083241472
6.199999999999999e-10,-0.030107332619900524,0.036716474045148266,-0.010642262219926915
6.4e-10,-0.030123361846698622,0.03665642416638563,-0.010634848938791498
6.6e-10,-0.03017317017736538,0.03663383207049645,-0.010665486502952466
6.799999999999999e-10,-0.030195445760375583,0.036665034979890355,-0.010714501454251492
7.000000000000001e-10,-0.030159337050832007,0.036706897633222636,-0.010742120279548642
7.2e-10,-0.03009819889444579,0.03670456965231096,-0.010732322082923405
7.4e-10,-0.03007292179638019,0.036651595930331106,-0.010710502931826906
7.6e-10,-0.030104923554415196,0.03659743689682625,-0.010715805892605849
7.8e-10,-0.030151832865757896,0.0365929760621077,-0.010757651654623931
7.999999999999999e-10,-0.030154565368739464,0.036633683367578336,-0.01080499586542985
8.200000000000001e-10,-0.030103121163049185,0.03666489628745563,-0.010820888519087662
8.4e-10,-0.030047372430174975,0.03664239145920085,-0.010803380800794129
8.6e-10,-0.030042055539142767,0.03658124444804985,-0.010787867474634527
8.8e-10,-0.03008578908812024,0.03653964656688922,-0.010808027790849904
9e-10,-0.030122058161852084,0.03655394237789272,-0.010857939283453003
9.199999999999999e-10,-0.030102670193480164,0.03659779427782112,-0.010898548793936237
9.4e-10,-0.03004154540535435,0.036611907221873394,-0.010901372560724421
9.6e-10,-0.029999042057217123,0.03656993834694076,-0.01088023367466342
9.8e-10,-0.030014865048709934,0.036508062531061085,-0.01087616621641975
1e-09,-0.030063083521154714,0.03648495417318571,-0.010911506532286041
1.02e-09,-0.030081009223392116,0.03651550614143273,-0.010964387912513139
1.0400000000000001e-09,-0.030040102440764407,0.0365541127225692,-0.010993354899721945
1.06e-09,-0.029977821813426064,0.036546102696800115,-0.01098398002325492
1.08e-09,-0.029955657373694138,0.0364888969365157,-0.010965168533268977
1.1e-09,-0.02998996987736689,0.036435395173398555,-0.010976992199637374
1.12e-09,-0.03003283432600544,0.036434390685534494,-0.011025182131165446
1.14e-09,-0.03002647597001282,0.036474907733808334,-0.01107432314091346
1.16e-09,-0.029968939598646355,0.03649890138206519,-0.011088086261242398
1.18e-09,-0.0299160734856389,0.03646687613134433,-0.011070336466624068
1.2e-09,-0.02991856504441485,0.03640259771961784,-0.011061051324029783
1.22e-09,-0.02996399137081019,0.03636669360356729,-0.011091105934439243
1.2399999999999999e-09,-0.02999049684076144,0.036387298352666374,-0.011146628841801991
1.26e-09,-0.029957860026868517,0.03642776016874695,-0.011184740005864613
1.28e-09,-0.02989333109930872,0.036428747727204495,-0.011182589039873854
1.2999999999999999e-09,-0.02986053560076734,0.036375703974846886,-0.011163500028974715
1.32e-09,-0.029886898729979464,0.036315869596711146,-0.011170723870178744
1.34e-09,-0.029931482556291775,0.036304428735982046,-0.011217669895120944
1.3599999999999999e-09,-0.029932091096689102,0.036340550997272736,-0.01127204314312361
1.3799999999999998e-09,-0.02987726225352465,0.03636851464695131,-0.011293119593836486
1.4000000000000001e-09,-0.029819246407618273,0.036341860096514855,-0.01127864831703386
1.42e-09,-0.029814081058208913,0.03627680579193351,-0.011267728494416316
1.44e-09,-0.02985656711273177,0.03623414330328904,-0.011295928386901211
1.46e-09,-0.029885692465442423,0.03624860452078966,-0.011353583186096364
1.48e-09,-0.029855942697547724,0.036288229832153455,-0.011396827546301011
1.5e-09,-0.029790216831595703,0.03629177750384872,-0.011398678763423221
1.52e-09,-0.029753193975771277,0.0362396469030537,-0.011380471841421507
1.5399999999999999e-09,-0.02977622827844926,0.03617704557746077,-0.011387479475287765
1.56e-09,-0.02981999473136836,0.03616158967208779,-0.011435903535535584
1.58e-09,-0.02982051355177831,0.036195301361805696,-0.01149338303291792
1.5999999999999999e-09,-0.029764642327553208,0.036222349210131,-0.011517021349838641
